"Product or process","Functional unit","Global warming potential per functional unit","Unit for 'Global warming potential' reporting","Country","Institution","System boundary","Included stages or activities","Impact categories","Ozone depletion potential per functional unit","Unit for 'Ozone depletion potential' reporting","Ozone formation per functional unit","Unit for 'Ozone formation' per functional unit","Ozone formation: human health per functional unit","Unit for 'Ozone formation: human health' reporting","Ozone formation: terrestrial ecosystems per functional unit","Unit for 'Ozone formation: terrestrial ecosystems' reporting","Photochemical oxidant creation potential
per functional unit","Unit for 'Photochemical oxidant creation potential' reporting","Acidification potential per functional unit","Unit for 'Acidification potential' reporting","Terrestrial acidification potential
per functional unit","Unit for 'Terrestrial acidification potential' reporting","Aquatic acidification potential
per functional unit","Unit for 'Aquatic acidification potential' reporting","Ocean acidification per functional unit","Unit for 'Ocean acidification' reporting","Eutrophication potential per functional unit","Unit for 'Eutrophication potential' reporting","Eutrophication potential: air per functional unit","Unit for 'Eutrophication potential: air' reporting","Eutrophication potential: water per functional unit","Unit for 'Eutrophication potential: water' reporting","Terrestrial eutrophication potential per functional unit","Unit for 'Terrestrial eutrophication potential' reporting","Marine eutrophication potential
per functional unit","Unit for 'Marine eutrophication potential' reporting","Freshwater eutrophication potential per functional unit","Unit for 'Freshwater eutrophication potential' reporting","Aquatic eutrophication potential
per functional unit","Unit for 'Aquatic eutrophication potential' reporting","Reactive nitrogen in water
per functional unit","Unit for 'Reactive nitrogen in water' reporting","Respiratory effects per functional unit","Unit for 'Respiratory effects' reporting","Particulate matter formation
per functional unit","Unit for 'Particulate matter formation' reporting","Respiratory
inorganics per functional unit","Unit for 'Respiratory
inorganics' reporting","Respiratory
organics
per functional unit","Unit for 'Respiratory
organics' reporting","Air pollution, sulfur dioxide
per functional unit","Unit for 'Air pollution, sulfur dioxide' reporting","Air pollution, nitrogen oxides
per functional unit","Unit for 'Air pollution, nitrogen oxides' reporting","Ecotoxicity potential
per functional unit","Unit for 'Ecotoxicity potential' reporting","Terrestrial ecotoxicity potential per functional unit","Unit for 'Terrestrial ecotoxicity potential' reporting","Freshwater aquatic ecotoxicity potential
per functional unit","Unit for 'Freshwater aquatic ecotoxicity potential' reporting","Marine aquatic ecotoxicity potential
per functional unit","Unit for 'Marine aquatic ecotoxicity potential' reporting","Aquatic ecotoxicity potential per functional unit","Unit for 'Aquatic ecotoxicity potential' reporting","Terrestrial ecotoxicity potential per functional unit 2","Unit for 'Terrestrial ecotoxicity potential' reporting 2","Human health: carcinogens
per functional unit","Unit for 'Human health: carcinogens reporting","Human health: non-carcinogens
per functional unit","Unit for 'Human health: non-carcinogens' reporting","Human toxicity potential
per functional unit","Unit for 'Human toxicity potential' reporting","Human toxicity potential: carcinogens
per functional unit","Unit for 'Human toxicity potential: carcinogens' reporting","Human toxicity potential: non-carcinogens per functional unit","Unit for 'Human toxicity potential: non-carcinogens' reporting","Total Malaria risk
per functional unit","Unit for 'Total malaria risk' reporting","Ionizing radiation per functional unit","Unit for 'Ionizing radiation' reporting","Ionizing radiation: human health per functional unit","Unit for 'Ionizing radiation: human health' reporting","Land use per functional unit","Unit for 'Land use' reporting","Agricultural land occupation per functional unit","Unit for 'Agricultural land occupation' reporting","Urban land occupation per functional unit","Unit for 'Urban land occupation' reporting","Land occupation
per functional unit","Unit for 'Land occupation' reporting","Natural land transformation per functional unit","Unit for 'Natural land transformation' reporting","Water use per functional unit","Unit for 'Water use' reporting","Blue water use per functional unit","Unit for 'Blue water use' reporting","Water scarcity per functional unit","Unit for 'Water scarcity' reporting","Scarce water use
per functional unit","Unit for 'Scarce water use' reporting","Water withdrawal per functional unit","Unit for 'Water withdrawal' reporting","Water footprint per functional unit","Unit for 'Water footprint' reporting","Metal depletion per functional unit","Unit for 'Metal depletion' reporting","Fossil depletion per functional unit","Unit for 'Fossil depletion' reporting","Abiotic fossil fuel depletion per functional unit","Unit for 'Abiotic fossil fuel depletion' reporting","Abiotic depletion potential: elements per functional unit","Unit for 'Abiotic depletion potential: elements' reporting","Abiotic depletion potential per functional unit","Unit for 'Abiotic depletion potential' reporting","Abiotic material extraction","Unit for 'Abiotic material extraction' reporting","Renewable energy carriers
per functional unit","Unit for 'Renewable energy carriers' reporting","Non-renewable energy carriers
per functional unit","Unit for 'Non-renewable energy carriers' reporting","Fossil energy carriers
per functional unit","Unit for 'Fossil energy carriers' reporting","Fossil fuels per functional unit","Unit for 'Fossil fuels' reporting","Minerals per functional unit","Unit for 'Minerals' reporting","Mineral resource scarcity per functional unit","Unit for 'Mineral resource scarcity' reporting","Fossil resource scarcity per functional unit","Unit for 'Fossil resource scarcity' reporting","Natural resource energy per functional unit","Unit for Natural resource energy' reporting","Resources: non-renewable per functional unit","Unit for 'Resources: non-renewable' reporting","Resources, renewable per functional unit","Unit for 'Resources: renewable' reporting","Resource use: energy carriers per fucntional unit","Unit for 'Resource use: energy carriers' reporting","Resource use: minerals and metals per functional unit","Unit for 'Resource use: minerals and metals' reporting","Resource use: fossils per functional unit","Unit for 'Resource use: fossils' reporting","Resource depletion per functional unit","Unit for 'Resource depletion' reporting","Cumulative energy demand per functional unit","Unit for 'Cumulative energy demand' reporting","Cumulative energy demand: non-renewable
per functional unit","Unit for 'Cumulative energy demand: non-renewable' reporting","Cumulative energy demand: renewable
per functional unit","Unit for 'Cumulative energy demand: renewable' reporting","Non-renewable energy use per functional unit","Unit for 'Non-renewable energy use' reporting","Primary energy consumption per functional unit","Unit for 'Primary energy consumption' reporting","Primary energy demand per functional unit","Unit for 'Primary energy demand' reporting","Hazardous waste
per functional unit","Unit for 'Hazardous waste' reporting","Heavy metals per functional unit","Unit for 'Heavy metals' reporting","Solid waste per functional unit","Unit for 'Solid waste' reporting","Human health
(Endpoint) per functional unit","Unit for 'Human health (Endpoint)' reporting","Resources (Endpoint) per functional unit","Unit for 'Resources (Endpoint)' reporting","Ecosystems (Endpoint) per functional unit","Unit for 'Ecosystems' reporting","Dissipated water per functional unit","Unit for 'Dissipated water' reporting","Resource depletion: water per functional unit","Unit for 'Resource depletion: water per functional unit' reporting","Species extinction risk per functional unit","Unit for 'Species extinction risk' reporting","References 2","Data sources copy 2"
"Arthroscopic rotator cuff repair, conventional: general anesthesia, 24-hour hospitalization, no arthroscopic water filtration","One procedure","3.35E+02"
"Arthroscopic rotator cuff repair, updated: loco-regional anesthesia, outpatient basis, arthroscopic water filtration","One procedure","2.94E+02"
"Arthroscopic shaver/burr","One item","1.80E-02"
"ASCO Annual Meeting, in-person attendance","One attendee","4.17E+03"
"ASCO Annual Meeting, virtual attendance","One attendee","1.38E+01"
"Aspirin (Acetylsalicylic acid)","One kilogram of active pharmaceutical ingredient (API)","4.85E+00"
"Asthma exacerbation, mild, treated with DPI","Treatment of one asthma exacerbation","0.00E+00"
"Asthma exacerbation, mild, treated with large volume MDI","Treatment of one asthma exacerbation","8.00E-01"
"Asthma exacerbation, mild, treated with small volume MDI","Treatment of one asthma exacerbation","3.00E-01"
"Asthma exacerbation, moderate, not requiring GP visit, treated with DPI","Treatment of one asthma exacerbation","0.00E+00"
"Asthma exacerbation, moderate, not requiring GP visit, treated with large volume MDI","Treatment of one asthma exacerbation","2.50E+00"
"Asthma exacerbation, moderate, not requiring GP visit, treated with small volume MDI","Treatment of one asthma exacerbation","1.00E+00"
"Asthma exacerbation, moderate, requiring GP visit, treated with DPI","Treatment of one asthma exacerbation","6.60E+01"
"Asthma exacerbation, moderate, requiring GP visit, treated with large volume MDI","Treatment of one asthma exacerbation","6.85E+01"
"Asthma exacerbation, moderate, requiring GP visit, treated with small volume MDI","Treatment of one asthma exacerbation","6.70E+01"
"Asthma exacerbation, severe or life-threatening, requiring medical services, treated with DPI","Treatment of one asthma exacerbation","1.85E+02"
"Asthma exacerbation, severe or life-threatening, requiring medical services, treated with large volume MDI","Treatment of one asthma exacerbation","1.88E+02"
"Asthma exacerbation, severe or life-threatening, requiring medical services, treated with small volume MDI","Treatment of one asthma exacerbation","1.86E+02"
"Astrazeneca, pharmaceutical company","Provision over one year","5.98E+08"
"Atrial fibrillation catheter ablation (pulmonary vein isolation + roof and mitral isthmus lines + CTI line using irrigated RF energy and ethanol infusion of the Marshall vein; RF-Marshall)","One atrial fibrillation catheter ablation procedure; pulmonary vein isolation + roof and mitral isthmus lines + CTI line using irrigated RF energy and ethanol infusion of the Marshall vein (RF-Marshall)","8.79E+01"
"Atrial fibrillation catheter ablation (pulmonary vein isolation using irrigated tip RF energy; RF-PVI)","One atrial fibrillation catheter ablation procedure; pulmonary vein isolation using irrigated tip RF energy (RF-PVI)","7.58E+01"
"Atrial fibrillation catheter ablation (pulmonary vein isolation with a cryoballoon catheter; Cryo-PVI)","One atrial fibrillation catheter ablation procedure; pulmonary vein isolation with a cryoballoon catheter (Cryo-PVI)","7.12E+01"
"Australia health system","Provision over one year","1.45E+10"
"Australia health system","Provision over one year","1.90E+10"
"Australia health system","Provision over one year","3.58E+10"
"Australia health system","Provision over one year","1.54E+10"
"Australia health system","Provision over one year","1.64E+10"
"Australia health system","Provision over one year","1.42E+10"
"Australia health system","Provision over one year","1.96E+10"
"Australia health system","Provision over one year","1.74E+10"
"Australia health system","Provision over one year","1.95E+10"
"Australia health system","Provision over one year","1.71E+10"
"Australia health system","Provision over one year","1.42E+10"
"Australia health system","Provision over one year","1.67E+10"
"Australia health system","Provision over one year","2.18E+10"
"Australia health system","Provision over one year","1.82E+10"
"Australia health system","Provision over one year","3.00E+10"
"Australia health system","Provision over one year","2.06E+10"
"Australia health system","Provision over one year, national","2.89E+10"
"Australia health system, per capita","Provision over one year, per capita","1.13E+03"
"Austria health system","Provision over one year","5.99E+09"
"Austria health system","Provision over one year","7.63E+09"
"Austria health system","Provision over one year","7.65E+09"
"Austria health system","Provision over one year","6.05E+09"
"Austria health system","Provision over one year","6.02E+09"
"Austria health system","Provision over one year","6.23E+09"
"Austria health system","Provision over one year","7.71E+09"
"Austria health system","Provision over one year","6.80E+09"
"Austria health system","Provision over one year","6.60E+09"
"Austria health system","Provision over one year","5.00E+09"
"Austria health system","Provision over one year","6.14E+09"
"Austria health system","Provision over one year","7.08E+09"
"Austria health system","Provision over one year","7.60E+09"
"Austria health system","Provision over one year","7.50E+09"
"Austria health system","Provision over one year","6.62E+09"
"Austria health system","Provision over one year","6.79E+09"
"Austria health system","Provision over one year","6.11E+09"
"Austria health system","Provision over one year","6.41E+09"
"Austria health system","Provision over one year","7.16E+09"
"Austria health system","Provision over one year","7.93E+09"
"Austria health system","Provision over one year","6.09E+09"
"Austria health system","Provision over one year","7.64E+09"
"Austria health system","Provision over one year","6.03E+09"
"Austria health system","Provision over one year","6.94E+09"
"Austria health system","Provision over one year, national","3.93E+09"
"Austria health system","Provision over one year, per million people",""
"Austria health system, per capita","Provision over one year, per capita","4.42E+02"
"Azerbaijan health system","Provision over one year, national","9.67E+08"
"Azerbaijan health system, per capita","Provision over one year, per capita","9.40E+01"
"B12 supplementation, methylcobalamin, blister packs","One daily dose","8.56E-03"
"B12 supplementation, methylcobalamin, glass bottle","One daily dose","6.84E-03"
"B12 supplementation, methylcobalamin, HDPE bottle","One daily dose","6.33E-03"
"B12 supplementation, methylcobalamin, PET bottle","One daily dose","6.42E-03"
"Bahamas health system","Provision over one year, national","1.51E+08"
"Bahamas health system, per capita","Provision over one year, per capita","3.71E+02"
"Bahrain health system","Provision over one year, national","5.53E+08"
"Bahrain health system, per capita","Provision over one year, per capita","3.74E+02"
"Bamboo floss","One person using the product every
day for 5 years","2.11E+00"
"Bamboo inter-dental brush (IDB)","One person using the product every
day for 5 years","1.31E+00"
"Bangladesh health system","Provision over one year, national","2.68E+09"
"Bangladesh health system, per capita","Provision over one year, per capita","1.60E+01"
"Bar soap hand washing","The UK population practicing hand hygiene for 1 year","2.30E+09"
"Barbados health system","Provision over one year, national","6.74E+07"
"Barbados health system, per capita","Provision over one year, per capita","2.40E+02"
"Bedpan, cardboard, disposable","One use of a bedpan while hospitalized","1.80E-01"
"Bedpan, polyethylene, disposable","One use of a bedpan while hospitalized","1.40E-01"
"Bedpan, polyethylene, reusable","One use of a bedpan while hospitalized","2.70E-01"
"Bedpan, stainless steel, reusable","One use of a bedpan while hospitalized","2.75E-01"
"Belarus health system","Provision over one year, national","1.94E+09"
"Belarus health system, per capita","Provision over one year, per capita","2.01E+02"
"Belgium health system","Provision over one year","8.86E+09"
"Belgium health system","Provision over one year","8.09E+09"
"Belgium health system","Provision over one year","9.59E+09"
"Belgium health system","Provision over one year","9.28E+09"
"Belgium health system","Provision over one year","8.74E+09"
"Belgium health system","Provision over one year","8.63E+09"
"Belgium health system","Provision over one year","8.73E+09"
"Belgium health system","Provision over one year","9.00E+09"
"Belgium health system","Provision over one year","8.81E+09"
"Belgium health system","Provision over one year","7.22E+09"
"Belgium health system","Provision over one year","9.31E+09"
"Belgium health system","Provision over one year","8.98E+09"
"Belgium health system","Provision over one year","8.96E+09"
"Belgium health system","Provision over one year","7.50E+09"
"Belgium health system","Provision over one year","9.66E+09"
"Belgium health system","Provision over one year, national","1.02E+10"
"Belgium health system","Provision over one year, per million people",""
"Belgium health system, per capita","Provision over one year, per capita","8.88E+02"
"Belize health system","Provision over one year, national","2.21E+07"
"Belize health system, per capita","Provision over one year, per capita","5.60E+01"
"Benin health system","Provision over one year, national","2.15E+08"
"Benin health system, per capita","Provision over one year, per capita","1.70E+01"
"Bhutan health system","Provision over one year, national","3.17E+07"
"Bhutan health system, per capita","Provision over one year, per capita","4.10E+01"
"Bilateral breast augmentation","One procedure","1.62E+01"
"Biomedical waste management, conventional system","2547 kg of medical waste","1.06E-03"
"Biomedical waste management, with thermal energy recovery","2547 kg of medical waste","1.04E-03"
"Biopsy forceps, single-use","One use","0.41E+00"
"Bipolar loop","One item","1.33E+00"
"Blood pressure cuff, disposable, incineration","Provision of blood pressure readings for 20 patient encounters in a outpatient clinic/general practice setting over one day (i.e. 20 disposable cuffs or 1 reusable cuff-day)","9.80E+00"
"Blood pressure cuff, disposable, incineration","Provision of blood pressure readings for 20 patients on a hospital ward for one day (i.e. 4 disposable cuffs per day or 1 reusable cuff-day).","2.00E+00"
"Blood pressure cuff, disposable, landfill","Provision of blood pressure readings for 20 patient encounters in a outpatient clinic/general practice setting over one day (i.e. 20 disposable cuffs or 1 reusable cuff-day)","7.20E+00"
"Blood pressure cuff, disposable, landfill","Provision of blood pressure readings for 20 patients on a hospital ward for one day (i.e. 4 disposable cuffs per day or 1 reusable cuff-day).","1.40E+00"
"Blood pressure cuff, reusable, low-level disinfection (sanitizing wipe), incineration","Provision of blood pressure readings for 20 patient encounters in a outpatient clinic/general practice setting over one day (i.e. 20 disposable cuffs or 1 reusable cuff-day)","2.30E-01"
"Blood pressure cuff, reusable, low-level disinfection (sanitizing wipe), incineration","Provision of blood pressure readings for 20 patients on a hospital ward for one day (i.e. 4 disposable cuffs per day or 1 reusable cuff-day).","9.00E-01"
"Blood pressure cuff, reusable, low-level disinfection (sanitizing wipe), landfill","Provision of blood pressure readings for 20 patients on a hospital ward for one day (i.e. 4 disposable cuffs per day or 1 reusable cuff-day).","7.10E-01"
"Blood pressure cuff, reusable, low-level disinfection (sanitizing wipe), landfill","Provision of blood pressure readings for 20 patient encounters in a outpatient clinic/general practice setting over one day (i.e. 20 disposable cuffs or 1 reusable cuff-day)","1.80E-01"
"Blood test, albumin, test processing only","One test","2.79E-02"
"Blood test, ALP, test processing only","One test","8.05E-02"
"Blood test, ALT, test processing only","One test","6.40E-02"
"Blood test, amylase, test processing only","One test","4.09E-02"
"Blood test, AST, test processing only","One test","6.05E-02"
"Blood test, calcium, test processing only","One test","1.74E-02"
